,Team,GP,PTS,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,TO
0,Alabama Crimson Tide,32,90.8,30.9,47.7,11.1,30.3,36.5,17.9,22.8,78.4,39.6,16.1,4.2,12.0
1,Kentucky Wildcats,32,89.4,32.2,49.7,9.9,24.1,41.2,15.2,19.7,77.3,37.6,17.6,6.3,10.7
2,Arizona Wildcats,33,87.9,31.5,48.9,7.8,21.1,37.1,17.0,23.7,71.9,42.6,18.6,3.5,12.0
3,Wright State Raiders,32,86.5,32.3,53.0,6.8,17.8,38.3,15.1,19.9,75.7,34.6,16.5,2.8,11.8
4,Samford Bulldogs,34,86.0,30.1,49.3,9.9,25.1,39.3,15.9,21.8,72.8,35.8,17.5,3.8,13.2
5,Florida Gators,35,85.1,29.8,45.6,7.7,22.5,34.2,17.9,25.2,71.2,42.7,15.0,5.3,11.8
6,Gonzaga Bulldogs,32,84.9,32.0,51.6,6.8,19.3,35.4,14.0,19.4,72.1,38.9,16.6,4.0,9.8
7,Indiana State Sycamores,34,84.4,29.2,50.5,11.0,28.5,38.5,15.1,18.9,79.7,35.7,17.5,1.8,11.8
8,Illinois Fighting Illini,34,84.4,29.3,47.1,8.3,23.8,35.0,17.5,23.5,74.5,41.3,13.0,3.8,10.8
9,James Madison Dukes,34,84.4,30.3,48.0,8.8,24.0,36.5,14.9,21.1,70.8,38.8,16.4,3.0,10.8
10,High Point Panthers,33,84.2,27.6,46.1,8.6,24.7,34.8,20.5,26.3,77.9,39.8,12.0,3.3,11.2
11,Purdue Boilermakers,33,83.4,28.5,48.8,8.3,20.4,40.8,18.0,25.0,72.1,40.4,18.4,3.8,11.5
12,Auburn Tigers,34,83.3,28.9,47.5,8.0,22.8,35.2,17.5,23.2,75.2,37.9,18.0,6.2,10.6
13,Iowa Hawkeyes,33,83.2,30.1,47.6,6.6,18.9,35.2,16.4,21.2,77.7,35.6,17.8,3.9,9.7
14,Kennesaw State Owls,31,82.8,29.3,44.6,9.4,28.6,32.9,14.8,22.0,67.4,38.8,14.8,4.1,12.1
